id,course,slide,image_index,title,record_type,image_path,year_creation,period_creation,author,production_place,region,style,material,historical_background_zh,historical_background_en,historical_background_sources,study_description,raw_slide_text
industrial_reform-s002-i02,Week 4: Industrial Revolution & Design Reform,2,2,Owen Jones (portrait reference),reference,assets/industrial_reform/s002_i02.jpg,,19th century (Victorian design theory context),Britain artist,Britain,Britain,Design Reform portrait reference,Engraving / print reproduction,该肖像用于说明欧文·琼斯在19世纪装饰理论中的核心作用；其《装饰语法》把历史装饰与色彩原则系统化，深刻影响设计教育与工业装饰实践。,"This portrait frames Owen Jones's central role in nineteenth-century ornament theory; The Grammar of Ornament systematized historical motifs and color principles, influencing design education and industrial decoration.",https://www.britannica.com/biography/Owen-Jones,"材质：Engraving / print reproduction。时期：19th century (Victorian design theory context)。历史背景：该肖像用于说明欧文·琼斯在19世纪装饰理论中的核心作用；其《装饰语法》把历史装饰与色彩原则系统化，深刻影响设计教育与工业装饰实践。
Material: Engraving / print reproduction. Period: 19th century (Victorian design theory context). Historical background: This portrait frames Owen Jones's central role in nineteenth-century ornament theory; The Grammar of Ornament systematized historical motifs and color principles, influencing design education and industrial decoration.","Reference portrait of Owen Jones, an important nineteenth-century architect-designer and ornament theorist."
industrial_reform-s002-i03,Week 4: Industrial Revolution & Design Reform,2,3,Henry Cole (portrait reference),reference,assets/industrial_reform/s002_i03.jpg,,19th century (Victorian design reform context),Britain artist,Britain,Britain,Victorian reform portrait reference,Engraving / print reproduction,该肖像对应亨利·科尔在1851年大博览会及南肯辛顿体系中的制度性作用：通过展览、博物馆与教育联动，推动“良好设计”进入公众消费与工业生产。,"This portrait corresponds to Henry Cole's institutional role in the 1851 Exhibition and the South Kensington system, linking exhibitions, museums, and education to move 'good design' into public consumption and industry.",https://www.npg.org.uk/collections/search/person/mp00959/sir-henry-cole,"材质：Engraving / print reproduction。时期：19th century (Victorian design reform context)。历史背景：该肖像对应亨利·科尔在1851年大博览会及南肯辛顿体系中的制度性作用：通过展览、博物馆与教育联动，推动“良好设计”进入公众消费与工业生产。
Material: Engraving / print reproduction. Period: 19th century (Victorian design reform context). Historical background: This portrait corresponds to Henry Cole's institutional role in the 1851 Exhibition and the South Kensington system, linking exhibitions, museums, and education to move 'good design' into public consumption and industry.","Reference portrait of Sir Henry Cole, a leading organizer of the Great Exhibition and design-reform institutions."
industrial_reform-s002-i04,Week 4: Industrial Revolution & Design Reform,2,4,Christopher Dresser (portrait reference),reference,assets/industrial_reform/s002_i04.jpeg,,19th century (Design Reform and Aesthetic Movement context),Britain artist,Britain,Britain,Design Reform portrait reference,Photographic / print portrait reproduction,该肖像用于引入德雷瑟的跨媒介设计实践：他把植物学研究、几何抽象与工业可制造性结合，推动了现代职业设计师角色的形成。,"This portrait introduces Dresser's cross-media design practice: he combined botanical study, geometric abstraction, and manufacturability, helping define the modern professional designer.",https://www.britannica.com/biography/Christopher-Dresser,"材质：Photographic / print portrait reproduction。时期：19th century (Design Reform and Aesthetic Movement context)。历史背景：该肖像用于引入德雷瑟的跨媒介设计实践：他把植物学研究、几何抽象与工业可制造性结合，推动了现代职业设计师角色的形成。
Material: Photographic / print portrait reproduction. Period: 19th century (Design Reform and Aesthetic Movement context). Historical background: This portrait introduces Dresser's cross-media design practice: he combined botanical study, geometric abstraction, and manufacturability, helping define the modern professional designer.","Reference portrait of Christopher Dresser, frequently described as a pioneering professional designer for industrial production."
industrial_reform-s002-i05,Week 4: Industrial Revolution & Design Reform,2,5,Queen Victoria and Prince Albert (reference photograph),reference,assets/industrial_reform/s002_i05.jpeg,,Mid-19th century (Victorian court context),Britain artist,Britain,Britain,Victorian court photography reference,Photographic print reproduction,该图用于补充维多利亚王室语境。阿尔伯特亲王与王室赞助对1851年博览会及其“国家文明展示”叙事具有关键意义。,This image provides royal context: Prince Albert and court patronage were central to the 1851 Exhibition and its narrative of national civilizational display.,https://www.rct.uk/collection/themes/trails/queen-victorias-family/queen-victoria-and-prince-albert,"材质：Photographic print reproduction。时期：Mid-19th century (Victorian court context)。历史背景：该图用于补充维多利亚王室语境。阿尔伯特亲王与王室赞助对1851年博览会及其“国家文明展示”叙事具有关键意义。
Material: Photographic print reproduction. Period: Mid-19th century (Victorian court context). Historical background: This image provides royal context: Prince Albert and court patronage were central to the 1851 Exhibition and its narrative of national civilizational display.",Reference royal photograph used to frame the political and court context around the Great Exhibition era.
industrial_reform-s002-i06,Week 4: Industrial Revolution & Design Reform,2,6,William Morris (portrait reference),reference,assets/industrial_reform/s002_i06.jpeg,,Late 19th century (Arts and Crafts context),Frederick Hollyer,London,Britain,Arts and Crafts portrait reference,Photographic portrait reproduction,该肖像常用于说明莫里斯对机械化生产美学的批评，以及工艺美术运动关于劳动尊严、材料诚实性与社会改革的主张。,"This portrait is often used to discuss Morris's critique of mechanized production and Arts and Crafts claims about dignified labor, material honesty, and social reform.",https://www.npg.org.uk/collections/search/portrait/mw72045,"材质：Photographic portrait reproduction。时期：Late 19th century (Arts and Crafts context)。历史背景：该肖像常用于说明莫里斯对机械化生产美学的批评，以及工艺美术运动关于劳动尊严、材料诚实性与社会改革的主张。
Material: Photographic portrait reproduction. Period: Late 19th century (Arts and Crafts context). Historical background: This portrait is often used to discuss Morris's critique of mechanized production and Arts and Crafts claims about dignified labor, material honesty, and social reform.","Reference portrait of William Morris, frequently used in teaching Arts and Crafts critiques of industrial modernity."
industrial_reform-s002-i07,Week 4: Industrial Revolution & Design Reform,2,7,The British Workman (masthead reference),reference,assets/industrial_reform/s002_i07.jpg,,Mid to late 19th century (Victorian periodical culture),S. W. Partridge & Co.,London,Britain,Victorian illustrated periodical graphic,Printed masthead reproduction,该刊头图像反映维多利亚时期面向工人阶层的宗教与道德改良出版实践，体现大众印刷媒介如何参与社会纪律与价值传播。,"This masthead reflects Victorian religious and moral reform publishing for working-class readers, showing how mass print participated in social discipline and value transmission.",https://en.wikipedia.org/wiki/The_British_Workman,"材质：Printed masthead reproduction。时期：Mid to late 19th century (Victorian periodical culture)。历史背景：该刊头图像反映维多利亚时期面向工人阶层的宗教与道德改良出版实践，体现大众印刷媒介如何参与社会纪律与价值传播。
Material: Printed masthead reproduction. Period: Mid to late 19th century (Victorian periodical culture). Historical background: This masthead reflects Victorian religious and moral reform publishing for working-class readers, showing how mass print participated in social discipline and value transmission.","Reference masthead from The British Workman, used for Victorian labor education and moral-reform print culture context."
industrial_reform-s002-i08,Week 4: Industrial Revolution & Design Reform,2,8,"Oscar Wilde, photographed by Napoleon Sarony (reference)",reference,assets/industrial_reform/s002_i08.jpg,,Late 19th century (Aesthetic Movement context),Napoleon Sarony,New York,Britain / United States,Aesthetic Movement portrait photography,Albumen silver print (photograph),该肖像反映审美主义在跨大西洋媒体中的形象传播：王尔德的服饰、姿态与摄影陈设共同构成了19世纪末“审美人格”的可复制视觉模板。,"This portrait reflects transatlantic media circulation of Aestheticism: Wilde's styling, pose, and studio staging formed a reproducible late-nineteenth-century visual template of the 'aesthetic personality.'",https://www.metmuseum.org/art/collection/search/283247,"材质：Albumen silver print (photograph)。时期：Late 19th century (Aesthetic Movement context)。历史背景：该肖像反映审美主义在跨大西洋媒体中的形象传播：王尔德的服饰、姿态与摄影陈设共同构成了19世纪末“审美人格”的可复制视觉模板。
Material: Albumen silver print (photograph). Period: Late 19th century (Aesthetic Movement context). Historical background: This portrait reflects transatlantic media circulation of Aestheticism: Wilde's styling, pose, and studio staging formed a reproducible late-nineteenth-century visual template of the 'aesthetic personality.'",Reference portrait of Oscar Wilde associated with the transatlantic public image of Aestheticism.
industrial_reform-s002-i09,Week 4: Industrial Revolution & Design Reform,2,9,"Crystal Palace, Hyde Park (reference exterior view)",reference,assets/industrial_reform/s002_i09.jpeg,,Mid-19th century (Great Exhibition context),Britain artist,London,Britain,Industrial exhibition architecture reference,Engraving / print reproduction,该图用于说明水晶宫作为预制铁玻建筑的范式意义：它将工程效率、帝国展陈与公众消费空间整合为同一视觉事件。,"This view highlights the Crystal Palace as a model of prefabricated iron-and-glass architecture, integrating engineering efficiency, imperial display, and mass public consumption in one visual event.",https://www.britannica.com/topic/Crystal-Palace-building-London,"材质：Engraving / print reproduction。时期：Mid-19th century (Great Exhibition context)。历史背景：该图用于说明水晶宫作为预制铁玻建筑的范式意义：它将工程效率、帝国展陈与公众消费空间整合为同一视觉事件。
Material: Engraving / print reproduction. Period: Mid-19th century (Great Exhibition context). Historical background: This view highlights the Crystal Palace as a model of prefabricated iron-and-glass architecture, integrating engineering efficiency, imperial display, and mass public consumption in one visual event.",Reference exterior engraving of the Crystal Palace in Hyde Park for the Great Exhibition of 1851.
industrial_reform-s002-i10,Week 4: Industrial Revolution & Design Reform,2,10,John Ruskin as a young man (reference portrait),reference,assets/industrial_reform/s002_i10.jpg,,Mid-19th century (Victorian criticism context),Britain artist,Britain,Britain,Victorian portrait reference,Watercolor / print reproduction,该肖像用于引入拉斯金早期思想语境：其对哥特、劳动与“诚实装饰”的论述深刻影响了工艺美术与设计改革中的伦理维度。,"This portrait introduces Ruskin's early intellectual context; his writings on Gothic form, labor, and 'truthful' ornament strongly shaped the ethical dimension of Arts and Crafts and design reform.",https://commons.wikimedia.org/wiki/File:Portrait_of_John_Ruskin_as_a_young_man_Wellcome_L0002301.jpg,"材质：Watercolor / print reproduction。时期：Mid-19th century (Victorian criticism context)。历史背景：该肖像用于引入拉斯金早期思想语境：其对哥特、劳动与“诚实装饰”的论述深刻影响了工艺美术与设计改革中的伦理维度。
Material: Watercolor / print reproduction. Period: Mid-19th century (Victorian criticism context). Historical background: This portrait introduces Ruskin's early intellectual context; his writings on Gothic form, labor, and 'truthful' ornament strongly shaped the ethical dimension of Arts and Crafts and design reform.","Reference portrait of young John Ruskin, used to introduce his role in Victorian art criticism and design ethics."
industrial_reform-s002-i11,Week 4: Industrial Revolution & Design Reform,2,11,Joseph Paxton (engraved portrait reference),reference,assets/industrial_reform/s002_i11.jpeg,,Mid-19th century (Great Exhibition context),"S. W. Reynolds (engraver), after O. Oakley",Britain,Britain,Victorian engraved portrait,Engraving,该版画强调帕克斯顿的工程与园艺背景如何转化为1851年展馆设计实践，体现维多利亚时期工程师形象的公共传播机制。,"This engraving emphasizes how Paxton's engineering and horticultural background informed the 1851 exhibition building, reflecting Victorian public circulation of engineer-innovator identities.",https://collection.sciencemuseumgroup.org.uk/objects/co67814/joseph-paxton,"材质：Engraving。时期：Mid-19th century (Great Exhibition context)。历史背景：该版画强调帕克斯顿的工程与园艺背景如何转化为1851年展馆设计实践，体现维多利亚时期工程师形象的公共传播机制。
Material: Engraving. Period: Mid-19th century (Great Exhibition context). Historical background: This engraving emphasizes how Paxton's engineering and horticultural background informed the 1851 exhibition building, reflecting Victorian public circulation of engineer-innovator identities.","Reference engraved portrait of Joseph Paxton, designer of the Crystal Palace."
industrial_reform-s003-i01,Week 4: Industrial Revolution & Design Reform,3,1,Imperial Federation: Map of the World (The Graphic supplement),artwork,assets/industrial_reform/s003_i01.png,,Late 19th century (high imperial visual culture),"Walter Crane (with J. C. R. Colomb, statistics)",London,Britain / Global Empire,Pictorial imperial map,Colour lithograph,该地图把帝国版图、航运路线与统计信息整合为单幅图像，是维多利亚晚期通过视觉媒介建构帝国共同体想象的重要案例。,"This map integrates imperial territory, shipping routes, and statistics into a single image, making it a key late-Victorian case of constructing imperial community through visual media.",https://www.davidrumsey.com/luna/servlet/s/rf5w0x,"材质：Colour lithograph。时期：Late 19th century (high imperial visual culture)。历史背景：该地图把帝国版图、航运路线与统计信息整合为单幅图像，是维多利亚晚期通过视觉媒介建构帝国共同体想象的重要案例。
Material: Colour lithograph. Period: Late 19th century (high imperial visual culture). Historical background: This map integrates imperial territory, shipping routes, and statistics into a single image, making it a key late-Victorian case of constructing imperial community through visual media.",Pictorial imperial map associated with Walter Crane and published as an 1886 supplement to The Graphic.
industrial_reform-s003-i02,Week 4: Industrial Revolution & Design Reform,3,2,Modern credit-card image (teaching joke reference),reference,assets/industrial_reform/s003_i02.jpeg,,Late 20th to early 21st century (contemporary reference),Global artist,Global,Global,Contemporary commercial graphic,Digital image,该图为课堂对照用的现代图像，不属于19世纪设计改革案例本体，主要用于轻松提示“credit”一词的双关。,"This is a modern classroom comparison image rather than a nineteenth-century reform case, mainly used as a playful pun on the word 'credit.'",,"材质：Digital image。时期：Late 20th to early 21st century (contemporary reference)。历史背景：该图为课堂对照用的现代图像，不属于19世纪设计改革案例本体，主要用于轻松提示“credit”一词的双关。
Material: Digital image. Period: Late 20th to early 21st century (contemporary reference). Historical background: This is a modern classroom comparison image rather than a nineteenth-century reform case, mainly used as a playful pun on the word 'credit.'","Contemporary credit-card image used in class as a humorous contrast, not a core nineteenth-century artwork."
industrial_reform-s004-i01,Week 4: Industrial Revolution & Design Reform,4,1,"Crystal Palace, Hyde Park (exterior view)",artwork,assets/industrial_reform/s004_i01.jpeg,,Mid-19th century (Great Exhibition architecture),Britain artist,London,Britain,Industrial exhibition architecture,Engraving / print reproduction,该外景图显示水晶宫以标准化构件实现大跨度与快速建造，成为工业时代展览建筑与公众奇观经济结合的标志性形态。,"This exterior view shows how standardized components enabled rapid construction and large spans, making the Crystal Palace emblematic of industrial-age exhibition architecture and spectacle economy.",https://www.britannica.com/topic/Crystal-Palace-building-London,"材质：Engraving / print reproduction。时期：Mid-19th century (Great Exhibition architecture)。历史背景：该外景图显示水晶宫以标准化构件实现大跨度与快速建造，成为工业时代展览建筑与公众奇观经济结合的标志性形态。
Material: Engraving / print reproduction. Period: Mid-19th century (Great Exhibition architecture). Historical background: This exterior view shows how standardized components enabled rapid construction and large spans, making the Crystal Palace emblematic of industrial-age exhibition architecture and spectacle economy.","Exterior view of the Crystal Palace built for the Great Exhibition in Hyde Park, London."
industrial_reform-s004-i02,Week 4: Industrial Revolution & Design Reform,4,2,Great Exhibition interior view (Dickinson's Comprehensive Pictures),artwork,assets/industrial_reform/s004_i02.jpeg,,Mid-19th century (Great Exhibition print culture),Dickinson Brothers (publishers),London,Britain,Exhibition lithograph,Color lithograph,该室内图像体现了博览会如何通过图像出版扩大影响：展陈秩序、商品密度与观众行为被编码为可流通的视觉知识。,"This interior image shows how exhibition publishing expanded the event's reach: display order, commodity density, and visitor behavior were encoded as portable visual knowledge.",https://dome.mit.edu/handle/1721.3/43705,"材质：Color lithograph。时期：Mid-19th century (Great Exhibition print culture)。历史背景：该室内图像体现了博览会如何通过图像出版扩大影响：展陈秩序、商品密度与观众行为被编码为可流通的视觉知识。
Material: Color lithograph. Period: Mid-19th century (Great Exhibition print culture). Historical background: This interior image shows how exhibition publishing expanded the event's reach: display order, commodity density, and visitor behavior were encoded as portable visual knowledge.",Interior view linked to Dickinson Brothers' visual documentation of the Great Exhibition.
industrial_reform-s005-i01,Week 4: Industrial Revolution & Design Reform,5,1,Floral furnishing chintz (False Principles example),artwork,assets/industrial_reform/s005_i01.png,,Mid-19th century (Design Reform critique context),Britain artist,Britain,Britain,Victorian furnishing print,Printed cotton textile (chintz),该印花棉布常在“False Principles”语境中被作为反例：其写实花卉与缎带错视效果被批评为偏离结构与用途的装饰“真实”。,"In 'False Principles' discourse, this chintz was treated as a negative example: its naturalistic flowers and illusionistic ribbon effects were criticized as ornament detached from structure and use.",https://www.vam.ac.uk/articles/wallpaper-design-reform,"材质：Printed cotton textile (chintz)。时期：Mid-19th century (Design Reform critique context)。历史背景：该印花棉布常在“False Principles”语境中被作为反例：其写实花卉与缎带错视效果被批评为偏离结构与用途的装饰“真实”。
Material: Printed cotton textile (chintz). Period: Mid-19th century (Design Reform critique context). Historical background: In 'False Principles' discourse, this chintz was treated as a negative example: its naturalistic flowers and illusionistic ribbon effects were criticized as ornament detached from structure and use.","Printed furnishing chintz with naturalistic floral motifs, discussed in Henry Cole's design-reform critique of 'false principles.'"
industrial_reform-s005-i02,Week 4: Industrial Revolution & Design Reform,5,2,"R. W. Winfield, gas jet lamp in the form of a convolvulus",artwork,assets/industrial_reform/s005_i02.jpeg,,Mid-19th century (Design Reform critique context),R. W. Winfield,Birmingham,Britain,Victorian historicist industrial decorative object,Metal (gilt metal / gas-light fitting),该器物在课程中作为科尔“False Principles”批评案例，反映维多利亚中期关于自然模仿装饰、工业复制与“良好品味”标准的争论。,"In class this object functions as a 'False Principles' case from Cole's critique, reflecting mid-Victorian debates over naturalistic imitation, industrial reproduction, and standards of good taste.",https://journalhosting.ucalgary.ca/index.php/racar/article/download/38323/29271/106724,"材质：Metal (gilt metal / gas-light fitting)。时期：Mid-19th century (Design Reform critique context)。历史背景：该器物在课程中作为科尔“False Principles”批评案例，反映维多利亚中期关于自然模仿装饰、工业复制与“良好品味”标准的争论。
Material: Metal (gilt metal / gas-light fitting). Period: Mid-19th century (Design Reform critique context). Historical background: In class this object functions as a 'False Principles' case from Cole's critique, reflecting mid-Victorian debates over naturalistic imitation, industrial reproduction, and standards of good taste.","Gas jet lamp attributed to R. W. Winfield of Birmingham, cited in slide text as an 1848 example criticized in design-reform debates."
industrial_reform-s006-i01,Week 4: Industrial Revolution & Design Reform,6,1,"Heywood, Higginbottom and Smith wallpaper with Crystal Palace and Serpentine",artwork,assets/industrial_reform/s006_i01.png,,Mid-19th century (Design Reform and Great Exhibition context),"Heywood, Higginbottom and Smith",Manchester,Britain,Victorian wallpaper design,Machine-printed wallpaper on paper,该壁纸将展览建筑景观转化为可家居消费的图像商品，体现了博览会视觉文化向日常室内空间扩散的机制，也成为设计改革批评的对象。,"This wallpaper turned exhibition architecture into domestic visual commodity, showing how Great Exhibition imagery moved into interiors and became a target of design-reform criticism.",https://www.vam.ac.uk/articles/wallpaper-design-reform,"材质：Machine-printed wallpaper on paper。时期：Mid-19th century (Design Reform and Great Exhibition context)。历史背景：该壁纸将展览建筑景观转化为可家居消费的图像商品，体现了博览会视觉文化向日常室内空间扩散的机制，也成为设计改革批评的对象。
Material: Machine-printed wallpaper on paper. Period: Mid-19th century (Design Reform and Great Exhibition context). Historical background: This wallpaper turned exhibition architecture into domestic visual commodity, showing how Great Exhibition imagery moved into interiors and became a target of design-reform criticism.","Machine-printed wallpaper depicting the Crystal Palace and Serpentine landscape, presented in design-reform teaching context."
industrial_reform-s006-i02,Week 4: Industrial Revolution & Design Reform,6,2,"R. W. Winfield, gas jet lamp in the form of a convolvulus (repeat detail)",artwork,assets/industrial_reform/s005_i02.jpeg,,Mid-19th century (Design Reform critique context),R. W. Winfield,Birmingham,Britain,Victorian historicist industrial decorative object,Metal (gilt metal / gas-light fitting),该图为同一灯具在后续批评页中的重复呈现，用于强调科尔对“自然摹仿式装饰”及其视觉夸张性的反对。,"This is a repeated image of the same lamp on the following critique slide, used to emphasize Cole's opposition to natural-imitation ornament and visual excess.",https://journalhosting.ucalgary.ca/index.php/racar/article/download/38323/29271/106724,"材质：Metal (gilt metal / gas-light fitting)。时期：Mid-19th century (Design Reform critique context)。历史背景：该图为同一灯具在后续批评页中的重复呈现，用于强调科尔对“自然摹仿式装饰”及其视觉夸张性的反对。
Material: Metal (gilt metal / gas-light fitting). Period: Mid-19th century (Design Reform critique context). Historical background: This is a repeated image of the same lamp on the following critique slide, used to emphasize Cole's opposition to natural-imitation ornament and visual excess.","Repeat image of the Winfield convolvulus gas lamp, reused on the slide that quotes Henry Cole's critique of imitative ornament."
industrial_reform-s007-i01,Week 4: Industrial Revolution & Design Reform,7,1,"Felix Summerly tea service (Henry Cole design, Minton manufacture)",artwork,assets/industrial_reform/s007_i01.png,,Mid-19th century (Design Reform domestic ware context),Henry Cole (design) and Minton & Co. (manufacture),Stoke-on-Trent,Britain,Design Reform industrial tableware,Earthenware,该茶具体现“以可负担日用品推广良好设计”的改革路径：通过标准化生产与简化造型，把审美教育嵌入中产家庭日常器用。,This tea set exemplifies reform through affordable domestic goods: standardized production and simplified form embedded aesthetic education into everyday middle-class use.,https://collections.vam.ac.uk/item/O8085/henry-cole-tea-service-milk-jug-cole-henry-sir/,"材质：Earthenware。时期：Mid-19th century (Design Reform domestic ware context)。历史背景：该茶具体现“以可负担日用品推广良好设计”的改革路径：通过标准化生产与简化造型，把审美教育嵌入中产家庭日常器用。
Material: Earthenware. Period: Mid-19th century (Design Reform domestic ware context). Historical background: This tea set exemplifies reform through affordable domestic goods: standardized production and simplified form embedded aesthetic education into everyday middle-class use.",Part of the Felix Summerly tea service designed by Henry Cole and manufactured by Minton for reform-minded domestic consumption.
industrial_reform-s007-i02,Week 4: Industrial Revolution & Design Reform,7,2,“Minster” jug (Henry Cole / Felix Summerly context),reference,assets/industrial_reform/s007_i02.jpg,,Mid-19th century (Design Reform domestic ware context),Stoke-on-Trent artist,Stoke-on-Trent,Britain,Gothic Revival influenced domestic ceramic,Earthenware / parian-type ceramic,该壶在课程中作为对比对象，显示设计改革并非单一风格，而是在宗教历史风格、工业可制造性与家庭消费之间持续调和。,"Used in class as a comparison object, this jug shows that design reform was not a single style but an ongoing negotiation between historicist language, manufacturability, and domestic consumption.",https://www.britishmuseum.org/collection/object/H_2009-8049-38,"材质：Earthenware / parian-type ceramic。时期：Mid-19th century (Design Reform domestic ware context)。历史背景：该壶在课程中作为对比对象，显示设计改革并非单一风格，而是在宗教历史风格、工业可制造性与家庭消费之间持续调和。
Material: Earthenware / parian-type ceramic. Period: Mid-19th century (Design Reform domestic ware context). Historical background: Used in class as a comparison object, this jug shows that design reform was not a single style but an ongoing negotiation between historicist language, manufacturability, and domestic consumption.",Relief-decorated 'Minster' jug shown on the comparison side of the slide and associated with Henry Cole's design-reform domestic ware program.
industrial_reform-s008-i01,Week 4: Industrial Revolution & Design Reform,8,1,"The Medieval Court, Great Exhibition (Louis Haghe view)",artwork,assets/industrial_reform/s008_i01.jpeg,,Mid-19th century (Great Exhibition medieval display context),Louis Haghe; Dickinson Brothers (publishers),London,Britain,Exhibition view lithograph,Color lithograph,该图展示中世纪展区如何把宗教器物、金工与装饰工艺编排为可观赏的历史场景，体现博览会以“风格化历史”组织现代消费视觉的机制。,"This view shows how the Medieval Court staged ecclesiastical objects, metalwork, and ornament as a consumable historical scene, demonstrating how the Exhibition organized modern visual consumption through stylized history.",https://www.rct.uk/collection/themes/exhibitions/victoria-albert-art-love/the-queens-gallery-buckingham-palace/the-great-exhibition-the-medieval-court,"材质：Color lithograph。时期：Mid-19th century (Great Exhibition medieval display context)。历史背景：该图展示中世纪展区如何把宗教器物、金工与装饰工艺编排为可观赏的历史场景，体现博览会以“风格化历史”组织现代消费视觉的机制。
Material: Color lithograph. Period: Mid-19th century (Great Exhibition medieval display context). Historical background: This view shows how the Medieval Court staged ecclesiastical objects, metalwork, and ornament as a consumable historical scene, demonstrating how the Exhibition organized modern visual consumption through stylized history.","Lithographic view of the Medieval Court at the Great Exhibition, associated with Louis Haghe and Dickinson publication."
industrial_reform-s008-i02,Week 4: Industrial Revolution & Design Reform,8,2,The Great Stove (A.W.N. Pugin; Hardman and Minton),artwork,assets/industrial_reform/s008_i02.jpeg,,Mid-19th century (Great Exhibition medieval display context),A.W.N. Pugin; John Hardman & Co.; Minton,London / Birmingham / Stoke-on-Trent,Britain,Gothic Revival exhibition decorative arts,Ironwork with ceramic tile decoration,该炉具体现1851年展陈中“工业制造 + 历史风格”混合策略：通过哥特构件与彩釉面板，把中世纪权威转译为现代国家设计品味。,This stove exemplifies the 1851 strategy of combining industrial manufacture with historicist style: Gothic structure and polychrome panels translated medieval authority into modern national design taste.,https://library.si.edu/image-gallery/101071 | https://www.rct.uk/collection/themes/exhibitions/victoria-albert-art-love/the-queens-gallery-buckingham-palace/the-great-exhibition-the-medieval-court,"材质：Ironwork with ceramic tile decoration。时期：Mid-19th century (Great Exhibition medieval display context)。历史背景：该炉具体现1851年展陈中“工业制造 + 历史风格”混合策略：通过哥特构件与彩釉面板，把中世纪权威转译为现代国家设计品味。
Material: Ironwork with ceramic tile decoration. Period: Mid-19th century (Great Exhibition medieval display context). Historical background: This stove exemplifies the 1851 strategy of combining industrial manufacture with historicist style: Gothic structure and polychrome panels translated medieval authority into modern national design taste.","The Great Stove shown as a Gothic Revival centerpiece linked to Pugin, John Hardman & Co., and Minton tiles."
industrial_reform-s008-i03,Week 4: Industrial Revolution & Design Reform,8,3,Jardiniere from the Medieval Court (attributed to A.W.N. Pugin),artwork,assets/industrial_reform/s008_i03.jpeg,,Mid-19th century (Great Exhibition medieval display context),A.W.N. Pugin context; Hardman and Minton workshop tradition,Britain,Britain,Gothic Revival polychrome decorative object,Gilt metal frame with decorated ceramic panels,该器物被用于中世纪展区语境，展示哥特语汇在小型陈设物中的工业化转译方式：金属框架与彩饰面板共同强化“历史风格可复制化”的设计逻辑。,"Shown in Medieval Court context, this object demonstrates industrial translation of Gothic language into small decorative furnishings: metal framing and colored panels reinforce the logic of reproducible historicist style.",https://bifmo.furniturehistorysociety.org/entry/the-great-exhibition-1851-medieval-court/ | https://collections.vam.ac.uk/item/O116534/jardiniere-pugin-augustus-welby-northmore/,"材质：Gilt metal frame with decorated ceramic panels。时期：Mid-19th century (Great Exhibition medieval display context)。历史背景：该器物被用于中世纪展区语境，展示哥特语汇在小型陈设物中的工业化转译方式：金属框架与彩饰面板共同强化“历史风格可复制化”的设计逻辑。
Material: Gilt metal frame with decorated ceramic panels. Period: Mid-19th century (Great Exhibition medieval display context). Historical background: Shown in Medieval Court context, this object demonstrates industrial translation of Gothic language into small decorative furnishings: metal framing and colored panels reinforce the logic of reproducible historicist style.",Small medievalizing jardiniere associated with the Great Exhibition Medieval Court and attributed in scholarship to Pugin's design context.
industrial_reform-s010-i01,Week 4: Industrial Revolution & Design Reform,10,1,Frontispiece to The True Principles of Pointed or Christian Architecture,artwork,assets/industrial_reform/s010_i01.jpeg,,Early to mid-19th century (Gothic Revival theory context),A.W.N. Pugin,London,Britain,Gothic Revival architectural print culture,Printed book frontispiece,该扉页把“建筑、信仰、工艺伦理”整合为普金理论的视觉入口，成为设计改革课程中理解哥特复兴思想体系的关键文献图像。,"This frontispiece serves as a visual gateway to Pugin's integration of architecture, faith, and craft ethics, making it a key documentary image for understanding Gothic Revival theory in design reform.",https://archive.org/details/trueprinciplesof00pugi | https://www.gla.ac.uk/myglasgow/library/files/special/teach/gothic/front.html,"材质：Printed book frontispiece。时期：Early to mid-19th century (Gothic Revival theory context)。历史背景：该扉页把“建筑、信仰、工艺伦理”整合为普金理论的视觉入口，成为设计改革课程中理解哥特复兴思想体系的关键文献图像。
Material: Printed book frontispiece. Period: Early to mid-19th century (Gothic Revival theory context). Historical background: This frontispiece serves as a visual gateway to Pugin's integration of architecture, faith, and craft ethics, making it a key documentary image for understanding Gothic Revival theory in design reform.",Frontispiece image from A.W.N. Pugin's architectural treatise on pointed (Gothic) architecture.
industrial_reform-s011-i01,Week 4: Industrial Revolution & Design Reform,11,1,A.W.N. Pugin portrait with quotation context (reference),reference,assets/industrial_reform/s011_i01.jpeg,,Mid-19th century (Gothic Revival context),Britain artist,Britain,Britain,Victorian portrait reference,Oil portrait reproduction,该肖像配合引文使用，强调普金将建筑视为社会道德教育媒介的立场；在课程中用于连接理论文本与人物形象传播。,"Used with the quote slide, this portrait stresses Pugin's claim that architecture functions as a medium of moral education; in class it links theoretical text with image-based persona building.",https://www.npg.org.uk/collections/search/portrait/mw1404/Augustus-Welby-Northmore-Pugin | https://www.britannica.com/biography/A-W-N-Pugin,"材质：Oil portrait reproduction。时期：Mid-19th century (Gothic Revival context)。历史背景：该肖像配合引文使用，强调普金将建筑视为社会道德教育媒介的立场；在课程中用于连接理论文本与人物形象传播。
Material: Oil portrait reproduction. Period: Mid-19th century (Gothic Revival context). Historical background: Used with the quote slide, this portrait stresses Pugin's claim that architecture functions as a medium of moral education; in class it links theoretical text with image-based persona building.",Reference portrait of A.W.N. Pugin used alongside the quote slide to emphasize his moral and pedagogical claims for architecture.
